CustomerID,CustomerCity,CustomerState,CustomerCountry,CustomerSegment,CustomerZipcode
20755,Caguas,PR,Puerto Rico,Consumer,725
19492,Caguas,PR,Puerto Rico,Consumer,725
19491,San Jose,CA,EE. UU.,Consumer,95125
19490,Los Angeles,CA,EE. UU.,Home Office,90027
19489,Caguas,PR,Puerto Rico,Corporate,725
19488,Tonawanda,NY,EE. UU.,Consumer,14150
19487,Caguas,PR,Puerto Rico,Home Office,725
19486,Miami,FL,EE. UU.,Corporate,33162
19485,Caguas,PR,Puerto Rico,Corporate,725
19484,San Ramon,CA,EE. UU.,Corporate,94583
19483,Caguas,PR,Puerto Rico,Corporate,725
19482,Freeport,NY,EE. UU.,Consumer,11520
19481,Salinas,CA,EE. UU.,Corporate,93905
19480,Caguas,PR,Puerto Rico,Corporate,725
19479,Peabody,MA,EE. UU.,Corporate,1960
19478,Caguas,PR,Puerto Rico,Corporate,725
19477,Canovanas,PR,Puerto Rico,Corporate,729
19476,Paramount,CA,EE. UU.,Corporate,90723
19475,Caguas,PR,Puerto Rico,Consumer,725
19474,Mount Prospect,IL,EE. UU.,Consumer,60056
19473,Long Beach,CA,EE. UU.,Corporate,90813
19472,Caguas,PR,Puerto Rico,Corporate,725
19471,Rancho Cordova,CA,EE. UU.,Corporate,95670
19470,Caguas,PR,Puerto Rico,Corporate,725
19469,Billings,MT,EE. UU.,Corporate,59102
19468,Caguas,PR,Puerto Rico,Corporate,725
19467,Wilkes Barre,PA,EE. UU.,Consumer,18702
19466,Caguas,PR,Puerto Rico,Corporate,725
19465,Roseville,MI,EE. UU.,Corporate,48066
19464,Bellflower,CA,EE. UU.,Consumer,90706
19463,Caguas,PR,Puerto Rico,Consumer,725
19462,Wheaton,IL,EE. UU.,Consumer,60187
19461,Caguas,PR,Puerto Rico,Consumer,725
19460,Detroit,MI,EE. UU.,Consumer,48238
19459,Dallas,TX,EE. UU.,Consumer,75220
19458,Caguas,PR,Puerto Rico,Corporate,725
19457,Carlisle,PA,EE. UU.,Corporate,17013
19456,Dallas,TX,EE. UU.,Corporate,75228
19455,Caguas,PR,Puerto Rico,Consumer,725
19454,Newark,DE,EE. UU.,Consumer,19702
19453,Panorama City,CA,EE. UU.,Consumer,91402
19452,Caguas,PR,Puerto Rico,Home Office,725
19451,Atlanta,GA,EE. UU.,Home Office,30318
19450,Caguas,PR,Puerto Rico,Home Office,725
19449,Fremont,CA,EE. UU.,Consumer,94539
19448,Caguas,PR,Puerto Rico,Corporate,725
19447,Rochester,NY,EE. UU.,Corporate,14609
19446,Dallas,TX,EE. UU.,Corporate,75211
9083,Bayamon,PR,Puerto Rico,Home Office,957
4741,Caguas,PR,Puerto Rico,Home Office,725
639,Caguas,PR,Puerto Rico,Home Office,725
9702,Caguas,PR,Puerto Rico,Home Office,725
9114,Caguas,PR,Puerto Rico,Home Office,725
1362,Caguas,PR,Puerto Rico,Home Office,725
8011,Caguas,PR,Puerto Rico,Home Office,725
3296,Caguas,PR,Puerto Rico,Home Office,725
3182,Caguas,PR,Puerto Rico,Home Office,725
7864,Caguas,PR,Puerto Rico,Home Office,725
11169,Caguas,PR,Puerto Rico,Home Office,725
5197,Caguas,PR,Puerto Rico,Home Office,725
1535,Caguas,PR,Puerto Rico,Home Office,725
6122,Caguas,PR,Puerto Rico,Home Office,725
9451,Caguas,PR,Puerto Rico,Home Office,725
542,Caguas,PR,Puerto Rico,Home Office,725
11329,Caguas,PR,Puerto Rico,Home Office,725
3570,Caguas,PR,Puerto Rico,Home Office,725
650,Caguas,PR,Puerto Rico,Home Office,725
9353,Caguas,PR,Puerto Rico,Home Office,725
54,Caguas,PR,Puerto Rico,Home Office,725
12151,Caguas,PR,Puerto Rico,Home Office,725
10018,Caguas,PR,Puerto Rico,Home Office,725
4936,Caguas,PR,Puerto Rico,Home Office,725
8707,Caguas,PR,Puerto Rico,Home Office,725
1025,Caguas,PR,Puerto Rico,Home Office,725
8831,Caguas,PR,Puerto Rico,Home Office,725
10679,Caguas,PR,Puerto Rico,Home Office,725
5007,Caguas,PR,Puerto Rico,Home Office,725
9854,Caguas,PR,Puerto Rico,Home Office,725
376,Caguas,PR,Puerto Rico,Home Office,725
5417,Caguas,PR,Puerto Rico,Home Office,725
10759,Caguas,PR,Puerto Rico,Home Office,725
8541,Caguas,PR,Puerto Rico,Home Office,725
3752,Caguas,PR,Puerto Rico,Home Office,725
4673,Caguas,PR,Puerto Rico,Home Office,725
5367,Caguas,PR,Puerto Rico,Home Office,725
10485,Caguas,PR,Puerto Rico,Home Office,725
9272,Caguas,PR,Puerto Rico,Home Office,725
647,Caguas,PR,Puerto Rico,Consumer,725
6398,Caguas,PR,Puerto Rico,Consumer,725
4209,Caguas,PR,Puerto Rico,Consumer,725
8917,Caguas,PR,Puerto Rico,Consumer,725
7784,Caguas,PR,Puerto Rico,Consumer,725
1425,Caguas,PR,Puerto Rico,Consumer,725
2737,Caguas,PR,Puerto Rico,Consumer,725
6428,Caguas,PR,Puerto Rico,Consumer,725
6543,Caguas,PR,Puerto Rico,Consumer,725
3990,Guayama,PR,Puerto Rico,Consumer,784
8524,Caguas,PR,Puerto Rico,Consumer,725
9204,Caguas,PR,Puerto Rico,Consumer,725
11761,Caguas,PR,Puerto Rico,Consumer,725
9554,Caguas,PR,Puerto Rico,Consumer,725
5118,Caguas,PR,Puerto Rico,Consumer,725
5506,Caguas,PR,Puerto Rico,Consumer,725
1423,Caguas,PR,Puerto Rico,Consumer,725
138,Caguas,PR,Puerto Rico,Consumer,725
6360,Caguas,PR,Puerto Rico,Consumer,725
2053,Caguas,PR,Puerto Rico,Consumer,725
10344,Juana Diaz,PR,Puerto Rico,Consumer,795
3375,Caguas,PR,Puerto Rico,Consumer,725
1339,Caguas,PR,Puerto Rico,Consumer,725
7247,Caguas,PR,Puerto Rico,Consumer,725
1273,Caguas,PR,Puerto Rico,Consumer,725
6277,Caguas,PR,Puerto Rico,Consumer,725
7701,Caguas,PR,Puerto Rico,Consumer,725
4126,Caguas,PR,Puerto Rico,Consumer,725
9528,Caguas,PR,Puerto Rico,Consumer,725
1853,Caguas,PR,Puerto Rico,Consumer,725
11149,Caguas,PR,Puerto Rico,Consumer,725
5828,Caguas,PR,Puerto Rico,Consumer,725
6887,Caguas,PR,Puerto Rico,Consumer,725
4781,Caguas,PR,Puerto Rico,Consumer,725
10668,Caguas,PR,Puerto Rico,Consumer,725
5421,Caguas,PR,Puerto Rico,Consumer,725
10200,Caguas,PR,Puerto Rico,Consumer,725
11254,Caguas,PR,Puerto Rico,Consumer,725
11106,Caguas,PR,Puerto Rico,Consumer,725
8456,Caguas,PR,Puerto Rico,Consumer,725
6149,Caguas,PR,Puerto Rico,Consumer,725
1473,Caguas,PR,Puerto Rico,Consumer,725
1840,Caguas,PR,Puerto Rico,Consumer,725
6757,Caguas,PR,Puerto Rico,Consumer,725
3972,Caguas,PR,Puerto Rico,Consumer,725
9316,Caguas,PR,Puerto Rico,Consumer,725
11213,Caguas,PR,Puerto Rico,Consumer,725
3474,Caguas,PR,Puerto Rico,Consumer,725
14630,Caguas,PR,Puerto Rico,Consumer,725
13256,Caguas,PR,Puerto Rico,Consumer,725
14665,Caguas,PR,Puerto Rico,Consumer,725
13363,Caguas,PR,Puerto Rico,Consumer,725
14645,Caguas,PR,Puerto Rico,Consumer,725
13163,Caguas,PR,Puerto Rico,Consumer,725
14553,Caguas,PR,Puerto Rico,Consumer,725
14287,Caguas,PR,Puerto Rico,Consumer,725
13179,Caguas,PR,Puerto Rico,Consumer,725
13035,Caguas,PR,Puerto Rico,Consumer,725
14322,Caguas,PR,Puerto Rico,Consumer,725
13196,Caguas,PR,Puerto Rico,Consumer,725
14604,Caguas,PR,Puerto Rico,Consumer,725
12961,Caguas,PR,Puerto Rico,Consumer,725
14676,Caguas,PR,Puerto Rico,Consumer,725
14087,Caguas,PR,Puerto Rico,Consumer,725
13194,Caguas,PR,Puerto Rico,Consumer,725
14513,Caguas,PR,Puerto Rico,Consumer,725
13461,Caguas,PR,Puerto Rico,Consumer,725
14510,Caguas,PR,Puerto Rico,Consumer,725
13190,Caguas,PR,Puerto Rico,Consumer,725
14508,Caguas,PR,Puerto Rico,Consumer,725
14472,Caguas,PR,Puerto Rico,Consumer,725
14562,Caguas,PR,Puerto Rico,Consumer,725
13206,Caguas,PR,Puerto Rico,Consumer,725
13080,Caguas,PR,Puerto Rico,Consumer,725
14633,Caguas,PR,Puerto Rico,Consumer,725
14097,Caguas,PR,Puerto Rico,Consumer,725
13024,Caguas,PR,Puerto Rico,Consumer,725
778,Caguas,PR,Puerto Rico,Consumer,725
7146,Caguas,PR,Puerto Rico,Consumer,725
6365,Caguas,PR,Puerto Rico,Consumer,725
8422,Caguas,PR,Puerto Rico,Consumer,725
3784,Caguas,PR,Puerto Rico,Consumer,725
10519,Caguas,PR,Puerto Rico,Consumer,725
7132,Caguas,PR,Puerto Rico,Consumer,725
3709,Caguas,PR,Puerto Rico,Consumer,725
1509,Freeport,NY,EE. UU.,Consumer,11520
1636,Fort Washington,MD,EE. UU.,Consumer,20744
2784,Bakersfield,CA,EE. UU.,Consumer,93304
9174,Corona,NY,EE. UU.,Consumer,11368
122,Cincinnati,OH,EE. UU.,Consumer,45238
3800,Germantown,MD,EE. UU.,Consumer,20874
10029,Carrollton,TX,EE. UU.,Consumer,75006
2805,Houston,TX,EE. UU.,Consumer,77093
12253,Carlisle,PA,EE. UU.,Consumer,17013
3528,Los Angeles,CA,EE. UU.,Consumer,90023
11018,Ewa Beach,HI,EE. UU.,Consumer,96706
3222,Lakewood,NJ,EE. UU.,Consumer,8701
6246,Rome,NY,EE. UU.,Consumer,13440
8741,Vista,CA,EE. UU.,Consumer,92083
8050,Fort Worth,TX,EE. UU.,Consumer,76106
