ProductID,ProductName,ProductPrice,ProductStatus,ProductCategoryID,CategoryID,CategoryName
1360,Smart watch ,327.75,0,73,73,Sporting Goods
365,Perfect Fitness Perfect Rip Deck,59.99000168,0,17,17,Cleats
627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,29,29,Shop By Sport
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,24,24,Women's Apparel
278,Under Armour Men's Compression EV SL Slide,44.99000168,0,13,13,Electronics
249,Under Armour Women's Micro G Skulpt Running S,54.97000122,0,12,12,Boxing & MMA
191,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,9,9,Cardio Equipment
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0,41,41,Trade-In
828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,0,37,37,Electronics
642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,0,29,29,Shop By Sport
818,Titleist Pro V1x Golf Balls,47.99000168,0,37,37,Electronics
825,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,0,37,37,Electronics
306,Polar FT4 Heart Rate Monitor,89.98999786,0,38,38,Kids' Golf Clubs
977,ENO Atlas Hammock Straps,29.98999977,0,44,44,Hunting & Shooting
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,0,3,3,Baseball & Softball
251,Brooks Women's Ghost 6 Running Shoe,89.98999786,0,12,12,Boxing & MMA
403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,18,18,Men's Footwear
957,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,43,43,Camping & Hiking
1352,Industrial consumer electronics,252.8800049,0,65,65,Consumer Electronics
1349,Web Camera,452.0400085,0,62,62,Cameras 
1351,Dell Laptop,1500.0,0,64,64,Computers
60,SOLE E25 Elliptical,999.9899902,0,4,4,Basketball
24,Elevation Training Mask 2.0,79.98999786,0,2,2,Soccer
567,adidas Men's Germany Black Crest Away Tee,25.0,0,26,26,Girls' Apparel
893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,40,40,Accessories
924,Glove It Urban Brick Golf Towel,15.98999977,0,41,41,Trade-In
905,Team Golf Texas Longhorns Putter Grip,24.98999977,0,40,40,Accessories
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,0,26,26,Girls' Apparel
885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,0,40,40,Accessories
